,Season,Continent,Category,Race_Days
0,2010,Africas,ME,67.0
1,2010,Americas,ME,171.0
2,2010,Asia,ME,135.0
3,2010,Europe,ME,211.0
5,2010,Oceania,ME,11.0
7,2011,Africas,ME,62.0
8,2011,Americas,ME,148.0
9,2011,Asia,ME,146.0
10,2011,Europe,ME,207.0
12,2011,Oceania,ME,4.0
14,2012,Africas,ME,53.0
15,2012,Americas,ME,136.0
16,2012,Asia,ME,116.0
18,2012,Europe,ME,187.0
20,2012,Oceania,ME,5.0
22,2013,Africas,ME,55.0
23,2013,Americas,ME,109.0
25,2013,Asia,ME,84.0
27,2013,Europe,ME,166.0
29,2013,Oceania,ME,5.0
30,2014,Africas,ME,76.0
31,2014,Americas,ME,132.0
33,2014,Asia,ME,89.0
35,2014,Europe,ME,142.0
37,2014,Oceania,ME,5.0
38,2015,Africas,ME,70.0
39,2015,Americas,ME,110.0
41,2015,Asia,ME,94.0
43,2015,Europe,ME,167.0
45,2015,Oceania,ME,5.0
47,2016,Africas,ME,79.0
48,2016,Americas,ME,75.0
50,2016,Asia,ME,48.0
52,2016,Europe,ME,153.0
54,2016,Oceania,ME,5.0
56,2017,Africas,ME,77.0
57,2017,Americas,ME,91.0
59,2017,Asia,ME,59.0
61,2017,Europe,ME,157.0
63,2017,Oceania,ME,5.0
65,2018,Africas,ME,95.0
66,2018,Americas,ME,74.0
68,2018,Asia,ME,76.0
70,2018,Europe,ME,145.0
72,2018,Oceania,ME,5.0
74,2019,Africas,ME,58.0
75,2019,Americas,ME,96.0
77,2019,Asia,ME,81.0
79,2019,Europe,ME,126.0
81,2019,Oceania,ME,5.0
