Rank,Category,Name,Nationality,Team,Age,Points,Year
1,ME,SCHURTER Nino,SUI,SCOTT - SRAM MTB RACING,33,2097,2019
2,ME,AVANCINI Henrique,BRA,CANNONDALE FACTORY RACING,30,1815,2019
3,ME,KERSCHBAUMER Gerhard,ITA,TORPADO URSUS ,28,1658,2019
4,ME,FLUECKIGER Mathias,SUI,THÖMUS RN SWISS BIKE TEAM,31,1550,2019
5,ME,VAN DER POEL Mathieu,NED,CORENDON - CIRCUS,24,1344,2019
6,ME,TEMPIER Stephane,FRA,BIANCHI COUNTERVAIL,33,1275,2019
7,ME,SARROU Jordan,FRA,ABSOLUTE-ABSALON,27,1260,2019
8,ME,CINK Ondřej,CZE,KROSS RACING TEAM ,29,1245,2019
9,ME,DASCALU Vlad,ROU,BRUJULA BIKE RACING TEAM,22,1183,2019
10,ME,KORETZKY Victor,FRA,KMC - EKOI - ORBEA,25,1087,2019
1,ME,SCHURTER Nino,SUI,SCOTT-SRAM MTB RACING,32,2193,2018
2,ME,AVANCINI Henrique,BRA,CANNONDALE FACTORY RACING XC,29,1694,2018
3,ME,KERSCHBAUMER Gerhard,ITA,TORPADO GABOGAS,27,1691,2018
4,ME,MAROTTE Maxime,FRA,CANNONDALE FACTORY RACING XC,32,1451,2018
5,ME,FLUECKIGER Mathias,SUI,THÖMUS - RN RACING TEAM,30,1257,2018
6,ME,COOPER Anton,NZL,TREK FACTORY RACING XC,24,1237,2018
7,ME,VAN DER POEL Mathieu,NED,CORENDON-CIRCUS,23,1202,2018
8,ME,FORSTER Lars,SUI,BMC MOUNTAINBIKE RACING TEAM,25,1193,2018
9,ME,CAROD Titouan,FRA,BMC MOUNTAINBIKE RACING TEAM,24,1109,2018
10,ME,TEMPIER Stephane,FRA,BIANCHI COUNTERVAIL,32,1102,2018
1,ME,SCHURTER Nino,SUI,SCOTT-SRAM MTB RACING TEAM,31,2320,2017
2,ME,SARROU Jordan,FRA,BH-SRSUNTOUR-KMC,25,1541,2017
3,ME,MAROTTE Maxime,FRA,CANNONDALE FACTORY RACING XC,31,1460,2017
4,ME,TEMPIER Stephane,FRA,BIANCHI COUNTERVAIL,31,1425,2017
5,ME,AVANCINI Henrique,BRA,CANNONDALE FACTORY RACING XC,28,1311,2017
6,ME,KULHAVÝ Jaroslav,CZE,SPECIALIZED RACING,32,1270,2017
7,ME,COOPER Anton,NZL,TREK FACTORY RACING XC,23,1262,2017
8,ME,FUMIC Manuel,GER,CANNONDALE FACTORY RACING XC,35,1202,2017
9,ME,VALERO SERRANO David,ESP,MMR FACTORY RACING TEAM,29,1185,2017
10,ME,BECKING Hans,NED,CST SANDD AMERICAN EAGLE MTB RACING TEAM,31,117,2017
1,ME,ABSALON Julien,FRA,BMC MOUNTAINBIKE RACING TEAM,36,2255,2016
2,ME,SCHURTER Nino,SUI,SCOTT-ODLO MTB RACING TEAM,30,2190,2016
3,ME,MAROTTE Maxime,FRA,BH-SR SUNTOUR-KMC,30,1889,2016
4,ME,KORETZKY Victor,FRA,BH-SR SUNTOUR-KMC,22,1321,2016
5,ME,STIRNEMANN Matthias,SUI,MOEBEL MAERKI MTB PRO TEAM,25,1294,2016
6,ME,TEMPIER Stephane,FRA,BIANCHI COUNTERVAIL,30,1205,2016
7,ME,VALERO SERRANO David,ESP,MMR FACTORY RACING TEAM,28,1193,2016
8,ME,KULHAVÝ Jaroslav,CZE,SPECIALIZED RACING,31,1178,2016
9,ME,GIGER Fabian,SUI,KROSS RACING TEAM,29,1158,2016
10,ME,CINK Ondřej,CZE,MULTIVAN MERIDA BIKING TEAM,26,1144,2016
1,ME,ABSALON Julien,FRA,BMC MOUNTAINBIKE RACING TEAM,35,1998,2015
2,ME,SCHURTER Nino,SUI,SCOTT-ODLO MTB RACING TEAM,29,1975,2015
3,ME,VOGEL Florian,SUI,FOCUS XC TEAM,33,1629,2015
4,ME,KULHAVÝ Jaroslav,CZE,SPECIALIZED RACING,30,1527,2015
5,ME,FUMIC Manuel,GER,CANNONDALE FACTORY RACING XC,33,1426,2015
6,ME,FLUECKIGER Mathias,SUI,STOECKLI PRO TEAM,27,1349,2015
7,ME,MAROTTE Maxime,FRA,BHE-SR SUNTOUR-KMC,29,1222,2015
8,ME,MCCONNELL Daniel,AUS,TREK FACTORY RACING,30,1186,2015
9,ME,COLOMA NICOLAS Carlos,ESP,,34,1059,2015
10,ME,GIGER Fabian,SUI,TEAM COLNAGO SUDTIROL,28,1042,2015
1,ME,ABSALON Julien,FRA,BMC MOUNTAINBIKE RACING TEAM,34,2367,2014
2,ME,SCHURTER Nino,SUI,SCOTT-ODLO MTB RACING TEAM,28,1920,2014
3,ME,MCCONNELL Daniel,AUS,TREK FACTORY RACING,29,1577,2014
4,ME,GIGER Fabian,SUI,GIANT PRO XC TEAM,27,1540,2014
5,ME,FUMIC Manuel,GER,CANNONDALE FACTORY RACING,32,1351,2014
6,ME,FLÜCKIGER Lukas,SUI,BMC MOUNTAINBIKE RACING TEAM,30,1324,2014
7,ME,HERMIDA RAMOS Jose Antonio,ESP,,36,1227,2014
8,ME,FONTANA Marco Aurelio,ITA,CANNONDALE FACTORY RACING,30,1191,2014
9,ME,FLUECKIGER Mathias,SUI,STÖCKLI PRO TEAM,26,1154,2014
10,ME,VAN DER HEIJDEN Michiel,NED,GIANT PRO XC TEAM,22,1145,2014
1,ME,SCHURTER Nino,SUI,SCOTT SWISSPOWER MTB RACING TEAM,27,2075,2013
2,ME,ABSALON Julien,FRA,BMC MOUNTAINBIKE RACING TEAM,33,1490,2013
3,ME,KULHAVÝ Jaroslav,CZE,SPECIALIZED RACING XC,28,1356,2013
4,ME,MCCONNELL Daniel,AUS,TREK FACTORY RACING,28,1309,2013
5,ME,CINK Ondřej,CZE,MULTIVAN MERIDA BIKING TEAM,23,1308,2013
6,ME,HERMIDA RAMOS Jose Antonio,ESP,,35,1243,2013
7,ME,MAROTTE Maxime,FRA,BH - SR SUNTOUR - KMC,27,1228,2013
8,ME,GIGER Fabian,SUI,GIANT PRO XC TEAM,26,1214,2013
9,ME,FONTANA Marco Aurelio,ITA,CANNONDALE FACTORY RACING,29,1176,2013
10,ME,FUMIC Manuel,GER,CANNONDALE FACTORY RACING,31,1030,2013
1,ME,SCHURTER Nino,SUI,SCOTT - SWISSPOWER MTB RACING TEAM,26,2150,2012
2,ME,STANDER Burry,RSA,SPECIALIZED RACING,25,1658,2012
3,ME,KULHAVÝ Jaroslav,CZE,SPECIALIZED RACING,27,1656,2012
4,ME,GIGER Fabian,SUI,RABOBANK GIANT OFFROAD TEAM,25,1609,2012
5,ME,FONTANA Marco Aurelio,ITA,CANNONDALE FACTORY RACING,28,1561,2012
6,ME,ABSALON Julien,FRA,ORBEA RACING TEAM,32,1478,2012
7,ME,FUMIC Manuel,GER,CANNONDALE FACTORY RACING,30,1457,2012
8,ME,FLÜCKIGER Lukas,SUI,TREK WORLD RACING,28,1327,2012
9,ME,MANTECON GUTIERREZ Sergio,ESP,WILDWOLF - TREK PRO RACING,28,1283,2012
10,ME,HERMIDA RAMOS Jose Antonio,ESP,,34,1240,2012
1,ME,CELESTINO Mirko,ITA,,37,415,2011
2,ME,VASTARANTA Jukka,FIN,,27,405,2011
3,ME,HUBER Urs,SUI,,26,377,2011
4,ME,LAKATA Alban,AUT,TOPEAK ERGON RACING TEAM,32,368,2011
5,ME,KULHAVÝ Jaroslav,CZE,SPECIALIZED RACING,26,360,2011
6,ME,SAUSER Christoph,SUI,SPECIALIZED RACING,35,352,2011
7,ME,PLATT Karl,GER,TEAM BULLS,33,337,2011
8,ME,BÖHME Tim,GER,TEAM BULLS,29,318,2011
9,ME,KÄß Jochen,GER,MULTIVAN MERIDA BIKING TEAM,30,300,2011
10,ME,BUCHLI Lukas,SUI,,32,252,2011
1,ME,CELESTINO Mirko,ITA,,36,585,2010
2,ME,LAKATA Alban,AUT,TOPEAK ERGON RACING TEAM,31,553,2010
3,ME,NÄF Ralph,SUI,MULTIVAN MERIDA BIKING TEAM,30,490,2010
4,ME,KUGLER Andreas,SUI,MULTIVAN MERIDA BIKING TEAM,31,378,2010
5,ME,HUBER Urs,SUI,,25,346,2010
6,ME,PLATT Karl,GER,TEAM BULLS,32,337,2010
7,ME,BUCHLI Lukas,SUI,,31,325,2010
8,ME,DIETSCH Thomas,FRA,TEAM BULLS,36,317,2010
9,ME,FELDERER Mike,ITA,,27,290,2010
10,ME,ORAS Allan,EST,,35,255,2010
1,WE,TERPSTRA Anne,NED,GHOST FACTORY RACING,28,2017,2019
2,WE,NEFF Jolanda,SUI,TREK FACTORY RACING XC,26,1918,2019
3,WE,COURTNEY Kate,USA,SCOTT - SRAM MTB RACING,24,1868,2019
4,WE,MCCONNELL Rebecca,AUS,PRIMAFLOR MONDRAKER ROTOR,28,1793,2019
5,WE,FERRAND PREVOT Pauline,FRA,CANYON FACTORY DOWNHILL TEAM,27,1588,2019
6,WE,FREI Sina,SUI,GHOST FACTORY RACING,22,1449,2019
7,WE,MICHIELS Githa,BEL,PRIMAFLOR MONDRAKER ROTOR,36,1378,2019
8,WE,BELOMOINA Yana,UKR,CST SANDD BAFANG MTB RACING TEAM,27,1376,2019
9,WE,SMITH Haley,CAN,NORCO FACTORY TEAM,26,1273,2019
10,WE,PENDREL Catharine,CAN,,39,1253,2019
1,WE,NEFF Jolanda,SUI,TREK FACTORY RACING XC,25,2114,2018
2,WE,LANGVAD Annika,DEN,SPECIALIZED RACING,34,1774,2018
3,WE,WLOSZCZOWSKA Maja,POL,KROSS RACING TEAM,35,1710,2018
4,WE,KELLER Alessandra,SUI,THÖMUS - RN RACING TEAM,22,1483,2018
5,WE,TAUBER Anne,NED,CST SANDD AMERICAN EAGLE MTB RACING TEAM,23,1476,2018
6,WE,BATTY Emily,CAN,TREK FACTORY RACING XC,30,1404,2018
7,WE,COURTNEY Kate,USA,SPECIALIZED RACING,23,1382,2018
8,WE,BRANDAU Elisabeth,GER,,33,1297,2018
9,WE,BENKÓ Barbara,HUN,GHOST FACTORY RACING,28,1275,2018
10,WE,FREI Sina,SUI,GHOST FACTORY RACING,21,1203,2018
1,WE,BELOMOINA Yana,UKR,CST SANDD AMERICAN EAGLE MTB RACING TEAM,25,2140,2017
2,WE,NEFF Jolanda,SUI,KROSS RACING TEAM,24,1518,2017
3,WE,INDERGAND Linda,SUI,FOCUS XC TEAM,24,1379,2017
4,WE,WLOSZCZOWSKA Maja,POL,KROSS RACING TEAM,34,1370,2017
5,WE,LAST Annie,GBR,OMX PRO TEAM,27,1367,2017
6,WE,SPITZ Sabine,GER,WIAWIS BIKES PRO TEAM,46,1340,2017
7,WE,DAHLE FLESJAA Gunn-Rita,NOR,TEAM MERIDA GUNN-RITA,44,1313,2017
8,WE,KALENTYEVA Irina,RUS,MOEBEL MAERKI MTB PRO TEAM,40,1191,2017
9,WE,GOULAO HENRIQUE Raiza,BRA,PRIMAFLOR MONDRAKER,26,1185,2017
10,WE,FERRAND PREVOT Pauline,FRA,CANYON FACTORY RACING XC,25,1137,2017
1,WE,NEFF Jolanda,SUI,STÖCKLI PRO TEAM,23,1890,2016
2,WE,LANGVAD Annika,DEN,SPECIALIZED RACING,32,1851,2016
3,WE,RISSVEDS Jenny,SWE,SCOTT-ODLO MTB RACING TEAM,22,1648,2016
4,WE,WLOSZCZOWSKA Maja,POL,KROSS RACING TEAM,33,1646,2016
5,WE,DAHLE FLESJAA Gunn-Rita,NOR,MULTIVAN MERIDA BIKING TEAM,43,1529,2016
6,WE,PENDREL Catharine,CAN,LUNA PRO TEAM,36,1484,2016
7,WE,BELOMOINA Yana,UKR,CST SUPERIOR BRENTJENS MOUNTAINBIKE RACING TEAM,24,1462,2016
8,WE,INDERGAND Linda,SUI,FOCUS XC TEAM,23,1429,2016
