,Start_date,End_Date,Name,Country,Category,Class,Season,Race_Days,Continent
0,2017-10-24,2017-10-29,Vuelta a Colombia Femenina Oro y Paz,COLOMBIA,WE,2.2,2018,6.0,Americas
1,2017-10-23,2017-11-01,Vuelta a Guatemala,GUATEMALA,ME,2.2,2018,10.0,Americas
5,2017-10-27,2017-11-05,Tour du Faso,BURKINA FASO,ME,2.2,2018,10.0,Africas
6,2017-10-27,2017-11-05,Vuelta Ciclista a Venezuela,BOLIVARIAN REPUBLIC OF VENEZUELA,ME,2.2,2018,10.0,Americas
7,2017-10-28,2017-11-05,Tour of Hainan,PEOPLE'S REPUBLIC OF CHINA,ME,2.HC,2018,9.0,Asia
8,2017-11-08,2017-11-12,Tour of Fuzhou,PEOPLE'S REPUBLIC OF CHINA,ME,2.1,2018,5.0,Asia
9,2017-11-12,2017-11-12,Tour de Okinawa,JAPAN,ME,1.2,2018,1.0,Asia
12,2017-11-12,2017-11-19,Tour du Rwanda,RWANDA,ME,2.2,2018,8.0,Africas
13,2017-11-19,2017-11-19,Telkom 947 Cycle Challenge,SOUTH AFRICA,WE,1.1,2018,1.0,Africas
14,2017-11-18,2017-11-26,Tour de Singkarak,INDONESIA,ME,2.2,2018,9.0,Asia
15,2017-12-02,2017-12-04,Tour of Quanzhou Bay,PEOPLE'S REPUBLIC OF CHINA,ME,2.2,2018,3.0,Asia
18,2017-12-18,2017-12-27,Vuelta Ciclista Internacional a Costa Rica,COSTA RICA,ME,2.2,2018,10.0,Americas
22,2018-01-11,2018-01-14,Santos Women's Tour Down Under,AUSTRALIA,WE,2.1,2018,4.0,Oceania
24,2018-01-12,2018-01-21,Vuelta al Tachira en Bicicleta,BOLIVARIAN REPUBLIC OF VENEZUELA,ME,2.2,2018,10.0,Americas
25,2018-01-15,2018-01-21,La Tropicale Amissa Bongo,GABON,ME,2.1,2018,7.0,Africas
26,2018-01-16,2018-01-21,Santos Tour Down Under,AUSTRALIA,ME,2.UWT,2018,6.0,Oceania
27,2018-01-17,2018-01-21,New Zealand Cycle Classic,NEW ZEALAND,ME,2.2,2018,5.0,Oceania
28,2018-01-25,2018-01-25,"Trofeo Campos, Porreres, Felanitx, Ses Salines",SPAIN,ME,1.1,2018,1.0,Europe
31,2018-01-26,2018-01-26,Trofeo de Tramuntana: Soller - Deia,SPAIN,ME,1.1,2018,1.0,Europe
32,2018-01-24,2018-01-27,Sharjah Tour,UNITED ARAB EMIRATES,ME,2.1,2018,4.0,Asia
33,2018-01-27,2018-01-27,Gravel and Tar,NEW ZEALAND,ME,1.2,2018,1.0,Oceania
34,2018-01-27,2018-01-27,Trofeo Lloseta - Andratx,SPAIN,ME,1.1,2018,1.0,Europe
35,2018-01-27,2018-01-27,Cadel Evans Great Ocean Road Race,AUSTRALIA,WE,1.1,2018,1.0,Oceania
36,2018-01-21,2018-01-28,Vuelta a San Juan Internacional - 36 Edicion,ARGENTINA,ME,2.1,2018,8.0,Americas
37,2018-01-25,2018-01-28,Tour de Indonesia,INDONESIA,ME,2.1,2018,4.0,Asia
38,2018-01-28,2018-01-28,Trofeo Palma,SPAIN,ME,1.1,2018,1.0,Europe
39,2018-01-28,2018-01-28,Cadel Evans Great Ocean Road Race,AUSTRALIA,ME,1.UWT,2018,1.0,Oceania
40,2018-01-28,2018-01-28,Grand Prix Cycliste la Marseillaise,FRANCE,ME,1.1,2018,1.0,Europe
41,2018-01-26,2018-01-29,Tour International des Zibans,ALGERIA,ME,2.2,2018,4.0,Africas
42,2018-01-30,2018-01-31,Womens Herald Sun Tour,AUSTRALIA,WE,2.2,2018,2.0,Oceania
43,2018-01-31,2018-02-04,Volta a la Comunitat Valenciana,SPAIN,ME,2.1,2018,5.0,Europe
44,2018-01-31,2018-02-04,Herald Sun Tour,AUSTRALIA,ME,2.1,2018,5.0,Oceania
45,2018-01-31,2018-02-04,Etoile de Bessèges,FRANCE,ME,2.1,2018,5.0,Europe
46,2018-01-31,2018-02-04,Tour de l'Espoir,CAMEROON,MU,2.Ncup,2018,5.0,Africas
48,2018-02-02,2018-02-04,Tour of Eftalia Hotels & Velo Alanya,TURKEY,WE,2.2,2018,3.0,Asia
51,2018-02-06,2018-02-10,Dubai Tour,UNITED ARAB EMIRATES,ME,2.HC,2018,5.0,Asia
52,2018-02-10,2018-02-10,Vuelta Ciclista a la Región de Murcia Costa Calida,SPAIN,ME,1.1,2018,1.0,Europe
53,2018-02-06,2018-02-11,Colombia Oro y Paz,COLOMBIA,ME,2.1,2018,6.0,Americas
54,2018-02-08,2018-02-11,3ème Tour Cycliste International La Provence,FRANCE,ME,2.1,2018,4.0,Europe
55,2018-02-11,2018-02-11,Trofeo Laigueglia,ITALY,ME,1.HC,2018,1.0,Europe
56,2018-02-11,2018-02-11,Clasica de Almeria,SPAIN,ME,1.HC,2018,1.0,Europe
59,2018-02-13,2018-02-18,Tour of Oman,OMAN,ME,2.HC,2018,6.0,Asia
60,2018-02-14,2018-02-18,Volta ao Algarve em Bicicleta,PORTUGAL,ME,2.HC,2018,5.0,Europe
61,2018-02-14,2018-02-18,Vuelta a Andalucia Ruta Ciclista Del Sol,SPAIN,ME,2.HC,2018,5.0,Europe
62,2018-02-17,2018-02-18,50ème Tour Cycliste International du Haut Var Matin,FRANCE,ME,2.1,2018,2.0,Europe
63,2018-02-18,2018-02-18,GP Laguna Porec,CROATIA,ME,1.2,2018,1.0,Europe
64,2018-02-18,2018-02-18,Grand Prix Alanya,TURKEY,ME,1.2,2018,1.0,Asia
65,2018-02-20,2018-02-23,Grand Prix International de la ville d'Alger,ALGERIA,ME,2.2,2018,4.0,Africas
66,2018-02-24,2018-02-24,Omloop Het Nieuwsblad-vrouwen elite / Circuit Het Nieuwsblad-Femmes Elite,BELGIUM,WE,1.1,2018,1.0,Europe
67,2018-02-24,2018-02-24,Omloop Het Nieuwsblad Elite,BELGIUM,ME,1.UWT,2018,1.0,Europe
68,2018-02-24,2018-02-24,Faun Environnement - Classic de l'Ardèche Rhône Crussol,FRANCE,ME,1.1,2018,1.0,Europe
69,2018-02-21,2018-02-25,Abu Dhabi Tour,UNITED ARAB EMIRATES,ME,2.UWT,2018,5.0,Asia
70,2018-02-22,2018-02-25,Setmana Ciclista Valenciana,SPAIN,WE,2.2,2018,4.0,Europe
71,2018-02-22,2018-02-25,Tour of Antalya,TURKEY,ME,2.2,2018,4.0,Asia
72,2018-02-25,2018-02-25,Spar - Omloop van het Hageland - Tielt-Winge,BELGIUM,WE,1.1,2018,1.0,Europe
73,2018-02-25,2018-02-25,GP Izola,SLOVENIA,ME,1.2,2018,1.0,Europe
74,2018-02-25,2018-02-25,Kuurne-Brussel-Kuurne Juniors,BELGIUM,MJ,1.1,2018,1.0,Europe
