,Start_date,End_Date,Name,Country,Category,Class,Season,Race_Days,uci_name,continent,name,country,latitude,longitude,Continent
0,2017-10-24,2017-10-29,Vuelta a Colombia Femenina Oro y Paz,COLOMBIA,WE,2.2,2018,6.0,COLOMBIA,AMERICAS,Colombia,CO,4.570868,-74.297333,Americas
1,2017-10-23,2017-11-01,Vuelta a Guatemala,GUATEMALA,ME,2.2,2018,10.0,GUATEMALA,AMERICAS,Guatemala,GT,15.783471,-90.230759,Americas
2,2017-10-27,2017-11-05,Tour du Faso,BURKINA FASO,ME,2.2,2018,10.0,BURKINA FASO,AFRICA,Burkina Faso,BF,12.238333,-1.561593,Africas
3,2017-10-27,2017-11-05,Vuelta Ciclista a Venezuela,BOLIVARIAN REPUBLIC OF VENEZUELA,ME,2.2,2018,10.0,BOLIVARIAN REPUBLIC OF VENEZUELA,AMERICAS,Venezuela,VE,6.42375,-66.58973,Americas
4,2017-10-28,2017-11-05,Tour of Hainan,PEOPLE'S REPUBLIC OF CHINA,ME,2.HC,2018,9.0,PEOPLE'S REPUBLIC OF CHINA,ASIA,China,CN,35.86166,104.195397,Asia
5,2017-11-08,2017-11-12,Tour of Fuzhou,PEOPLE'S REPUBLIC OF CHINA,ME,2.1,2018,5.0,PEOPLE'S REPUBLIC OF CHINA,ASIA,China,CN,35.86166,104.195397,Asia
6,2017-11-12,2017-11-12,Tour de Okinawa,JAPAN,ME,1.2,2018,1.0,JAPAN,ASIA,Japan,JP,36.204824,138.252924,Asia
7,2017-11-12,2017-11-19,Tour du Rwanda,RWANDA,ME,2.2,2018,8.0,RWANDA,AFRICA,Rwanda,RW,-1.940278,29.873888,Africas
8,2017-11-19,2017-11-19,Telkom 947 Cycle Challenge,SOUTH AFRICA,WE,1.1,2018,1.0,SOUTH AFRICA,AFRICA,South Africa,ZA,-30.559482,22.937506,Africas
9,2017-11-18,2017-11-26,Tour de Singkarak,INDONESIA,ME,2.2,2018,9.0,INDONESIA,ASIA,Indonesia,ID,-0.789275,113.921327,Asia
10,2017-12-02,2017-12-04,Tour of Quanzhou Bay,PEOPLE'S REPUBLIC OF CHINA,ME,2.2,2018,3.0,PEOPLE'S REPUBLIC OF CHINA,ASIA,China,CN,35.86166,104.195397,Asia
11,2017-12-18,2017-12-27,Vuelta Ciclista Internacional a Costa Rica,COSTA RICA,ME,2.2,2018,10.0,COSTA RICA,AMERICAS,Costa Rica,CR,9.748917,-83.753428,Americas
