,Type,Season,ME,WE
0,One Day (.1),2010,85.0,10.0
1,One Day (.1),2011,85.0,10.0
2,One Day (.1),2012,79.0,10.0
3,One Day (.1),2013,75.0,9.0
4,One Day (.1),2014,74.0,14.0
5,One Day (.1),2015,68.0,18.0
6,One Day (.1),2016,64.0,15.0
7,One Day (.1),2017,71.0,20.0
8,One Day (.1),2018,69.0,21.0
9,One Day (.1),2019,65.0,22.0
10,One Day (.2),2010,86.0,15.0
11,One Day (.2),2011,94.0,24.0
12,One Day (.2),2012,94.0,29.0
13,One Day (.2),2013,94.0,17.0
14,One Day (.2),2014,99.0,25.0
15,One Day (.2),2015,112.0,26.0
16,One Day (.2),2016,91.0,30.0
17,One Day (.2),2017,92.0,17.0
18,One Day (.2),2018,77.0,19.0
19,One Day (.2),2019,94.0,44.0
20,One Day (.HC/WT),2010,29.0,0.0
21,One Day (.HC/WT),2011,28.0,0.0
22,One Day (.HC/WT),2012,30.0,0.0
23,One Day (.HC/WT),2013,28.0,0.0
24,One Day (.HC/WT),2014,30.0,0.0
25,One Day (.HC/WT),2015,35.0,0.0
26,One Day (.HC/WT),2016,39.0,13.0
27,One Day (.HC/WT),2017,40.0,14.0
28,One Day (.HC/WT),2018,44.0,16.0
29,One Day (.HC/WT),2019,44.0,14.0
30,Stage Race (.1),2010,184.0,52.0
31,Stage Race (.1),2011,188.0,42.0
32,Stage Race (.1),2012,170.0,66.0
33,Stage Race (.1),2013,188.0,51.0
34,Stage Race (.1),2014,205.0,55.0
35,Stage Race (.1),2015,199.0,53.0
36,Stage Race (.1),2016,202.0,48.0
37,Stage Race (.1),2017,227.0,26.0
38,Stage Race (.1),2018,223.0,38.0
39,Stage Race (.1),2019,244.0,51.0
40,Stage Race (.2),2010,595.0,37.0
41,Stage Race (.2),2011,567.0,43.0
42,Stage Race (.2),2012,497.0,53.0
43,Stage Race (.2),2013,419.0,56.0
44,Stage Race (.2),2014,444.0,64.0
45,Stage Race (.2),2015,446.0,76.0
46,Stage Race (.2),2016,360.0,73.0
47,Stage Race (.2),2017,389.0,52.0
48,Stage Race (.2),2018,395.0,54.0
49,Stage Race (.2),2019,366.0,54.0
50,Stage Race (.HC/WT),2010,230.0,0.0
51,Stage Race (.HC/WT),2011,245.0,0.0
52,Stage Race (.HC/WT),2012,269.0,0.0
53,Stage Race (.HC/WT),2013,266.0,5.0
54,Stage Race (.HC/WT),2014,288.0,0.0
55,Stage Race (.HC/WT),2015,287.0,0.0
56,Stage Race (.HC/WT),2016,261.0,22.0
57,Stage Race (.HC/WT),2017,283.0,32.0
58,Stage Race (.HC/WT),2018,290.0,36.0
59,Stage Race (.HC/WT),2019,287.0,38.0
